filename,spkr_id,sentence
speaker_009-000005-1.wav,1022,ở vị trí chính giữa bức tường ngăn được vẽ hình rông phun nước bay lượn trong mây
speaker_009-004101-1.wav,1022,tiếp theo sùng trinh phái đại học sĩ binh bộ thượng thư dương tự xương làm đốc sư tổng đốc nắm quyền chỉ huy việc tiễu trừ nghĩa quân
speaker_009-005125-1.wav,614,tuyến sông trên địa bàn tỉnh quảng nam có dòng sông hẹp nhiều đoạn cạn và có đập pa ra an trạch chắn ngang
speaker_009-007429-1.wav,1022,chỉ có tang đồ theo hạng vũ là người duy nhất thắng thế
speaker_009-007685-1.wav,946,sau đó chủ nhà mời khách uống trà ăn trầu hay bánh kẹo
speaker_009-011525-1.wav,614,cuối cùng nhà đường hoàn toàn mất quyền khống chế toàn bộ các khu vực ở phía tây đôn hoàng
speaker_009-042500-1.wav,1022,bấy giờ quân của việt làm bá chủ ở phía đông sông giang sông hoài
speaker_009-054532-1.wav,614,hòn đảo chính nằm cách bờ biển đông nam trung quốc đại lục qua eo biển đài loan khoảng
speaker_009-055044-1.wav,946,đền thờ vị nhân thần hoàng minh tự đỗ hoàng giáp do đó là biểu tượng cho sự học hành đỗ đạt
speaker_009-055300-1.wav,946,sau đó lại kết án oan người lai thủy là ngụy đình thực
speaker_009-062980-1.wav,1022,nhưng thêm một lần nữa càng được kì vọng bao nhiêu thì ý lại gây thất vọng bấy nhiêu
speaker_009-070405-1.wav,1022,thái tông hoàng đế tuy phải đánh dẹp liên miên nhưng cũng không bỏ bê việc chính trị trong nước
speaker_009-111108-1.wav,946,lăng được xây dựng trên nền cũ của tòa lễ đài giữa quảng trường ba đình nơi hồ chí minh chủ trì các cuộc mít tinh lớn và đọc bản tuyên ngôn độc lập khai sinh ra nước việt nam dân chủ cộng hòa
speaker_009-111620-1.wav,946,dưới đây là tổng quan hệ thống quan chế của các triều đại quân chủ tại việt nam
speaker_009-112644-1.wav,946,trên thực tế tất cả mọi người trong nước tham gia trong một số hoạt động giáo dục thường là dưới hình thức nhóm nghiên cứu nhỏ
speaker_011-001286-1.wav,661,vào lúc đó quân kim tại hoàng hà cũng rút về phía nam chặn cánh quân của đà lôi
speaker_011-007221-1.wav,463,công tác chuẩn bị cho liên hoan phim cannes lần thứ sáu mươi mốt
speaker_011-011061-1.wav,463,đại diện formosa trình bày đề án kinh doanh khi cảng nước sâu sơn dương hoàn thành tại vũng áng
speaker_011-013109-1.wav,463,lâu đài được mở cửa cho công chúng vào tham quan khoảng hơn sáu tuần sau đó
speaker_011-016693-1.wav,463,chuyện nghỉ học bỏ học không còn là một cái gì to tát với họ
speaker_011-018485-1.wav,463,sắp tới các doanh nghiệp nhỏ phải ngừng mua bán vàng miếng chỉ còn được kinh doanh vàng nữ trang
speaker_011-019509-1.wav,463,ngôi sao xinh đẹp cũng biểu diễn tại lễ trao giải âm nhạc mỹ diễn ra hồi đầu tuần
speaker_011-021045-1.wav,463,kelly brook đã nhận được nhiều lời mời quảng cáo thời trang bà bầu trong giai đoạn này
speaker_011-024373-1.wav,463,cha mẹ bươn chải đi làm lắm khi hai ba công việc cùng một lúc
speaker_011-025653-1.wav,463,trong trường hợp bạn tìm việc bạn sẽ là một ứng viên có khả năng cạnh tranh cao
speaker_011-031029-1.wav,463,quan trọng nhất là dành mười phút trước khi hết giờ để kiểm tra lại bài
speaker_011-032565-1.wav,463,phương pháp dạy toán của singapore có gì khác biệt
speaker_011-050693-2.wav,100,nên mấy trăm năm sau vẫn còn phải chịu cái quả báo làm kiếp trâu bị sét đánh
speaker_011-053509-1.wav,100,sau khi mộ dung bảo lên ngôi hoàng đế ông đã lập mộ dung đức làm đại tướng quân và trấn thủ nghiệp thành cùng phía nam đất nước
speaker_011-055813-1.wav,132,tuy nhiên vì chúng khá nổi loạn nên cần một người chủ thực sự thống trị để có thể dạy chúng sự khác biệt giữa sai và đúng
speaker_011-058629-1.wav,167,các ca nhiễm độc nhẹ không gây ra nhiều triệu chứng cụ thể và chỉ cần hạn chế uống nước là đủ
speaker_011-058676-1.wav,1089,bạn bị mất thẻ sinh viên nên phải làm giấy cam đoan
speaker_011-060165-1.wav,955,chia xã hòa long thanh hai đơn vị hành chính lấy tên là xã hòa long và thị trấn lai vung
speaker_011-061492-1.wav,672,nhưng cách tự đam mê và tự tìm ra cho riêng mình bí quyết ấy không nhiều
speaker_011-062981-1.wav,462,quỳnh lưu là một đơn vị hành chính cấp huyện của tỉnh nghệ an
speaker_011-064517-1.wav,462,thí sinh phải đọc một đoạn văn sau đó nghe một bài thuyết giảng rồi tóm tắt lại và nêu mối quan hệ giữa đoạn văn và bài thuyết giảng
speaker_011-067125-1.wav,486,bé không thể đi vệ sinh như những đứa trẻ bình thường khác
speaker_011-067381-1.wav,375,chúc các bạn sẽ là những chuyên gia công nghệ thông tin hàng đầu cả nước và trên thế giới
speaker_011-069685-1.wav,258,cô giáo chín x giàu nhiệt huyết và nghị lực
